Company_Name,NSE_Symbol,Yahoo_Symbol
Reliance Industries,RELIANCE,RELIANCE.NS
Tata Consultancy Services,TCS,TCS.NS
Infosys,INFY,INFY.NS
HDFC Bank,HDFCBANK,HDFCBANK.NS
ICICI Bank,ICICIBANK,ICICIBANK.NS
State Bank of India,SBIN,SBIN.NS
Bharti Airtel,BHARTIARTL,BHARTIARTL.NS
ITC,ITC,ITC.NS
Larsen & Toubro,LT,LT.NS
Hindustan Unilever,HINDUNILVR,HINDUNILVR.NS
Bajaj Finance,BAJFINANCE,BAJFINANCE.NS
Axis Bank,AXISBANK,AXISBANK.NS
Kotak Mahindra Bank,KOTAKBANK,KOTAKBANK.NS
Asian Paints,ASIANPAINT,ASIANPAINT.NS  
Maruti Suzuki India,MARUTI,MARUTI.NS
Mahindra & Mahindra,M&M,M&M.NS
Sun Pharmaceutical,SUNPHARMA,SUNPHARMA.NS
Titan Company,TITAN,TITAN.NS
UltraTech Cement,ULTRACEMCO,ULTRACEMCO.NS
Nestle India,NESTLEIND,NESTLEIND.NS
Bajaj Finserv,BAJAJFINSV,BAJAJFINSV.NS
NTPC,NTPC,NTPC.NS
Power Grid Corporation,POWERGRID,POWERGRID.NS
Tata Motors,TATAMOTORS,TATAMOTORS.NS
Tata Steel,TATASTEEL,TATASTEEL.NS
JSW Steel,JSWSTEEL,JSWSTEEL.NS
Adani Enterprises,ADANIENT,ADANIENT.NS
Adani Ports,ADANIPORTS,ADANIPORTS.NS
Coal India,COALINDIA,COALINDIA.NS
Oil & Natural Gas Corporation,ONGC,ONGC.NS
Bharat Petroleum,BPCL,BPCL.NS
IndusInd Bank,INDUSINDBK,INDUSINDBK.NS
Wipro,WIPRO,WIPRO.NS
Tech Mahindra,TECHM,TECHM.NS
HCL Technologies,HCLTECH,HCLTECH.NS
Apollo Hospitals,APOLLOHOSP,APOLLOHOSP.NS
Dr Reddys Laboratories,DRREDDY,DRREDDY.NS
Cipla,CIPLA,CIPLA.NS
Eicher Motors,EICHERMOT,EICHERMOT.NS
Hero MotoCorp,HEROMOTOCO,HEROMOTOCO.NS
Britannia Industries,BRITANNIA,BRITANNIA.NS
Grasim Industries,GRASIM,GRASIM.NS
SBI Life Insurance,SBILIFE,SBILIFE.NS
HDFC Life Insurance,HDFCLIFE,HDFCLIFE.NS
Bajaj Auto,BAJAJ-AUTO,BAJAJ-AUTO.NS
Trent,TRENT,TRENT.NS
Shriram Finance,SHRIRAMFIN,SHRIRAMFIN.NS
BEL,BEL,BEL.NS
Jio Financial Services,JIOFIN,JIOFIN.NS
Hindalco Industries,HINDALCO,HINDALCO.NS
